s_city_id,s_lon,s_lat,Colonne1,e_City,e_lat,e_lon,Column1
204,-8.468,30.897,505,Rabat,34.02236,-6.8340222,
205,-8.468,30.897,505,Rabat,34.02236,-6.8340222,
206,-8.468,30.897,505,Rabat,34.02236,-6.8340222,
207,-8.468,30.898,505,Rabat,34.02236,-6.8340222,
208,-8.468,30.898,505,Rabat,34.02236,-6.8340222,
209,-8.468,30.898,505,Rabat,34.02236,-6.8340222,
210,-8.468,30.898,505,Rabat,34.02236,-6.8340222,
211,-8.468,30.898,505,Rabat,34.02236,-6.8340222,
212,-8.468,30.897,505,Rabat,34.02236,-6.8340222,
213,-8.468,30.897,505,Rabat,34.02236,-6.8340222,
214,-8.468,30.897,505,Rabat,34.02236,-6.8340222,
215,-8.468,30.897,505,Rabat,34.02236,-6.8340222,
216,-8.469,30.897,505,Rabat,34.02236,-6.8340222,
217,-8.469,30.897,505,Rabat,34.02236,-6.8340222,
218,-8.469,30.897,505,Rabat,34.02236,-6.8340222,
219,-8.469,30.897,505,Rabat,34.02236,-6.8340222,
220,-8.47,30.897,505,Rabat,34.02236,-6.8340222,
221,-8.47,30.898,505,Rabat,34.02236,-6.8340222,
222,-8.471,30.897,505,Rabat,34.02236,-6.8340222,
223,-8.471,30.898,505,Rabat,34.02236,-6.8340222,
224,-8.471,30.897,505,Rabat,34.02236,-6.8340222,
225,-8.473,30.897,505,Rabat,34.02236,-6.8340222,
226,-8.473,30.897,505,Rabat,34.02236,-6.8340222,
227,-8.473,30.897,505,Rabat,34.02236,-6.8340222,
228,-8.473,30.897,505,Rabat,34.02236,-6.8340222,
229,-8.473,30.897,505,Rabat,34.02236,-6.8340222,
230,-8.473,30.897,505,Rabat,34.02236,-6.8340222,
231,-8.473,30.897,505,Rabat,34.02236,-6.8340222,
232,-8.473,30.897,505,Rabat,34.02236,-6.8340222,
233,-8.473,30.897,505,Rabat,34.02236,-6.8340222,
234,-8.473,30.897,505,Rabat,34.02236,-6.8340222,
235,-8.473,30.897,505,Rabat,34.02236,-6.8340222,
236,-8.473,30.897,505,Rabat,34.02236,-6.8340222,
237,-8.473,30.897,505,Rabat,34.02236,-6.8340222,
238,-8.473,30.897,505,Rabat,34.02236,-6.8340222,
239,-8.474,30.897,505,Rabat,34.02236,-6.8340222,
240,-8.474,30.897,505,Rabat,34.02236,-6.8340222,
241,-8.474,30.897,505,Rabat,34.02236,-6.8340222,
242,-8.474,30.897,505,Rabat,34.02236,-6.8340222,
243,-8.475,30.897,505,Rabat,34.02236,-6.8340222,
244,-8.475,30.897,505,Rabat,34.02236,-6.8340222,
245,-8.475,30.897,505,Rabat,34.02236,-6.8340222,
246,-8.474,30.897,505,Rabat,34.02236,-6.8340222,
247,-8.474,30.897,505,Rabat,34.02236,-6.8340222,
248,-8.474,30.897,505,Rabat,34.02236,-6.8340222,
249,-8.475,30.897,505,Rabat,34.02236,-6.8340222,
250,-8.475,30.897,505,Rabat,34.02236,-6.8340222,
251,-8.475,30.897,505,Rabat,34.02236,-6.8340222,
252,-8.476,30.897,505,Rabat,34.02236,-6.8340222,
253,-8.476,30.897,505,Rabat,34.02236,-6.8340222,
254,-8.476,30.897,505,Rabat,34.02236,-6.8340222,
255,-8.479,30.897,505,Rabat,34.02236,-6.8340222,
256,-8.479,30.897,505,Rabat,34.02236,-6.8340222,
257,-8.479,30.897,505,Rabat,34.02236,-6.8340222,
258,-8.479,30.897,505,Rabat,34.02236,-6.8340222,
259,-8.48,30.898,505,Rabat,34.02236,-6.8340222,
260,-8.48,30.897,505,Rabat,34.02236,-6.8340222,
261,-8.48,30.897,505,Rabat,34.02236,-6.8340222,
262,-8.48,30.897,505,Rabat,34.02236,-6.8340222,
263,-8.479,30.897,505,Rabat,34.02236,-6.8340222,
264,-8.48,30.897,505,Rabat,34.02236,-6.8340222,
265,-8.48,30.897,505,Rabat,34.02236,-6.8340222,
266,-8.48,30.897,505,Rabat,34.02236,-6.8340222,
267,-8.48,30.897,505,Rabat,34.02236,-6.8340222,
268,-8.48,30.897,505,Rabat,34.02236,-6.8340222,
269,-8.481,30.897,505,Rabat,34.02236,-6.8340222,
270,-8.481,30.897,505,Rabat,34.02236,-6.8340222,
271,-8.48,30.897,505,Rabat,34.02236,-6.8340222,
272,-8.48,30.897,505,Rabat,34.02236,-6.8340222,
273,-8.481,30.897,505,Rabat,34.02236,-6.8340222,
274,-8.481,30.897,505,Rabat,34.02236,-6.8340222,
275,-8.481,30.897,505,Rabat,34.02236,-6.8340222,
276,-8.482,30.897,505,Rabat,34.02236,-6.8340222,
277,-8.481,30.897,505,Rabat,34.02236,-6.8340222,
278,-8.481,30.897,505,Rabat,34.02236,-6.8340222,
279,-8.481,30.896,505,Rabat,34.02236,-6.8340222,
280,-8.481,30.897,505,Rabat,34.02236,-6.8340222,
281,-8.482,30.896,505,Rabat,34.02236,-6.8340222,
282,-8.482,30.896,505,Rabat,34.02236,-6.8340222,
283,-8.481,30.896,505,Rabat,34.02236,-6.8340222,
284,-8.481,30.896,505,Rabat,34.02236,-6.8340222,
285,-8.481,30.897,505,Rabat,34.02236,-6.8340222,
286,-8.481,30.897,505,Rabat,34.02236,-6.8340222,
287,-8.481,30.897,505,Rabat,34.02236,-6.8340222,
288,-8.481,30.897,505,Rabat,34.02236,-6.8340222,
289,-8.481,30.897,505,Rabat,34.02236,-6.8340222,
290,-8.48,30.897,505,Rabat,34.02236,-6.8340222,
291,-8.484,30.896,505,Rabat,34.02236,-6.8340222,
292,-8.483,30.897,505,Rabat,34.02236,-6.8340222,
293,-8.483,30.897,505,Rabat,34.02236,-6.8340222,
294,-8.482,30.897,505,Rabat,34.02236,-6.8340222,
295,-8.483,30.896,505,Rabat,34.02236,-6.8340222,
296,-8.482,30.896,505,Rabat,34.02236,-6.8340222,
297,-8.484,30.897,505,Rabat,34.02236,-6.8340222,
298,-8.484,30.897,505,Rabat,34.02236,-6.8340222,
299,-8.484,30.897,505,Rabat,34.02236,-6.8340222,
300,-8.484,30.897,505,Rabat,34.02236,-6.8340222,
301,-8.485,30.897,505,Rabat,34.02236,-6.8340222,
302,-8.485,30.897,505,Rabat,34.02236,-6.8340222,
303,-8.484,30.897,505,Rabat,34.02236,-6.8340222,
304,-8.485,30.897,505,Rabat,34.02236,-6.8340222,
305,-8.485,30.898,505,Rabat,34.02236,-6.8340222,
306,-8.485,30.898,505,Rabat,34.02236,-6.8340222,
307,-8.485,30.898,505,Rabat,34.02236,-6.8340222,
308,-8.485,30.898,505,Rabat,34.02236,-6.8340222,
309,-8.486,30.898,505,Rabat,34.02236,-6.8340222,
310,-8.486,30.898,505,Rabat,34.02236,-6.8340222,
311,-8.485,30.898,505,Rabat,34.02236,-6.8340222,
312,-8.485,30.897,505,Rabat,34.02236,-6.8340222,
313,-8.485,30.897,505,Rabat,34.02236,-6.8340222,
314,-8.485,30.897,505,Rabat,34.02236,-6.8340222,
315,-8.485,30.896,505,Rabat,34.02236,-6.8340222,
316,-8.486,30.897,505,Rabat,34.02236,-6.8340222,
317,-8.486,30.897,505,Rabat,34.02236,-6.8340222,
318,-8.486,30.897,505,Rabat,34.02236,-6.8340222,
319,-8.486,30.897,505,Rabat,34.02236,-6.8340222,
320,-8.486,30.897,505,Rabat,34.02236,-6.8340222,
321,-8.486,30.896,505,Rabat,34.02236,-6.8340222,
322,-8.486,30.897,505,Rabat,34.02236,-6.8340222,
323,-8.486,30.896,505,Rabat,34.02236,-6.8340222,
324,-8.485,30.897,505,Rabat,34.02236,-6.8340222,
325,-8.485,30.897,505,Rabat,34.02236,-6.8340222,
326,-8.484,30.897,505,Rabat,34.02236,-6.8340222,
327,-8.484,30.897,505,Rabat,34.02236,-6.8340222,
328,-8.486,30.897,505,Rabat,34.02236,-6.8340222,
329,-8.486,30.897,505,Rabat,34.02236,-6.8340222,
330,-8.492,30.896,505,Rabat,34.02236,-6.8340222,
331,-8.492,30.896,505,Rabat,34.02236,-6.8340222,
332,-8.492,30.896,505,Rabat,34.02236,-6.8340222,
333,-8.491,30.896,505,Rabat,34.02236,-6.8340222,
334,-8.491,30.896,505,Rabat,34.02236,-6.8340222,
335,-8.491,30.896,505,Rabat,34.02236,-6.8340222,
336,-8.495,30.896,505,Rabat,34.02236,-6.8340222,
337,-8.491,30.897,505,Rabat,34.02236,-6.8340222,
338,-8.491,30.897,505,Rabat,34.02236,-6.8340222,
339,-8.493,30.901,505,Rabat,34.02236,-6.8340222,
340,-8.493,30.901,505,Rabat,34.02236,-6.8340222,
341,-8.493,30.9,505,Rabat,34.02236,-6.8340222,
342,-8.493,30.9,505,Rabat,34.02236,-6.8340222,
343,-8.493,30.9,505,Rabat,34.02236,-6.8340222,
344,-8.493,30.9,505,Rabat,34.02236,-6.8340222,
345,-8.493,30.899,505,Rabat,34.02236,-6.8340222,
346,-8.493,30.899,505,Rabat,34.02236,-6.8340222,
347,-8.493,30.899,505,Rabat,34.02236,-6.8340222,
348,-8.493,30.899,505,Rabat,34.02236,-6.8340222,
349,-8.407,31.161,505,Rabat,34.02236,-6.8340222,
350,-8.407,31.16,505,Rabat,34.02236,-6.8340222,
351,-8.406,31.161,505,Rabat,34.02236,-6.8340222,
352,-8.406,31.161,505,Rabat,34.02236,-6.8340222,
353,-8.406,31.161,505,Rabat,34.02236,-6.8340222,
354,-8.406,31.161,505,Rabat,34.02236,-6.8340222,
355,-8.407,31.159,505,Rabat,34.02236,-6.8340222,
356,-8.398,31.159,505,Rabat,34.02236,-6.8340222,
357,-8.398,31.159,505,Rabat,34.02236,-6.8340222,
358,-8.398,31.16,505,Rabat,34.02236,-6.8340222,
359,-8.394,31.159,505,Rabat,34.02236,-6.8340222,
360,-8.392,31.159,505,Rabat,34.02236,-6.8340222,
361,-8.392,31.158,505,Rabat,34.02236,-6.8340222,
362,-8.392,31.158,505,Rabat,34.02236,-6.8340222,
363,-8.391,31.158,505,Rabat,34.02236,-6.8340222,
364,-8.391,31.157,505,Rabat,34.02236,-6.8340222,
365,-8.391,31.157,505,Rabat,34.02236,-6.8340222,
